prompt_id,category,prompt,expect_phenomena,expect_constraints,expect_segment,hand_graded,notes
p001,qh_mode,wide pedestal QH-mode at low torque,qh,,flat_top,1,top-5 should be flat-tops from QH/WPQH run days with near-zero or counter NBI torque; a shot whose only link is the word 'pedestal' in an unrelated mini-proposal is wrong.
p002,qh_mode,QH-mode with a clear EHO on the magnetics,qh|eho,,flat_top,0,
p003,qh_mode,quiescent H-mode with counter-NBI torque,qh,,flat_top,0,
p004,qh_mode,WPQH-mode in hydrogen plasmas,qh,,flat_top,0,
p005,qh_mode,shots that stayed ELM-free in QH-mode for more than 2 s,qh,,flat_top,0,
p006,qh_mode,edge harmonic oscillation with several harmonics on the magnetics,eho,,flat_top,1,"top-5 must carry EHO evidence (a 2-20 kHz track with >= 2 harmonics, or an operator sentence naming the EHO); a shot offered on the word 'harmonic' from an ECH polarisation note is wrong."
p007,qh_mode,QH-mode access at high pedestal density,qh,,flat_top,0,
p008,qh_mode,isotope effect in standard and wide pedestal QH-mode,qh,,flat_top,0,
p009,qh_mode,QH mode with reduced carbon sputtering,qh,,flat_top,0,
p010,qh_mode,wide-pedestal QH with ECH heating,qh,"{""pech_total_mean"":[500000.0,null]}",flat_top,0,
p011,qh_mode,EHO onset during a torque ramp down,eho,,flat_top,0,
p012,qh_mode,quiescent H mode at near-zero net NBI torque,qh,"{""nbi_torque_total_mean"":[-1.0,1.0]}",flat_top,0,
p013,qh_mode,QH-mode shots where the EHO went away and the ELMs came back,qh|eho|elm,,flat_top,0,
p014,qh_mode,wide pedestal QH-mode at low collisionality,qh,,flat_top,0,
p015,qh_mode,QH-mode development on a negative triangularity shape,qh,,flat_top,0,
p016,qh_mode,divertor diagnostic checkout for QH/WPQH-Mode,qh,,flat_top,0,
p017,elm_rmp,ELM suppression with n=3 RMP,elm,,flat_top,1,top-5 should be flat-tops with I-coil current actually applied (irmp_total_peak well above the ~100 A error-field baseline) on an RMP/ELM run day; an ELMing shot with the coils off is wrong.
p018,elm_rmp,n=2 RMP ELM suppression at high beta,elm,"{""betan_mean"":[2.0,null]}",flat_top,0,
p019,elm_rmp,RMP ELM control with the I-coils in even parity,elm,,flat_top,0,
p020,elm_rmp,shots where the RMP suppressed the ELMs and then they came back,elm,,flat_top,0,
p021,elm_rmp,feedback adaptive RMP ELM controller,elm,,flat_top,0,
p022,elm_rmp,ELM suppression with RMP and lithium,elm,,flat_top,0,
p023,elm_rmp,n=1 RMP ELM mitigation,elm,,flat_top,0,
p024,elm_rmp,impurity assisted ELM suppression,elm,,flat_top,0,
p025,elm_rmp,small ELMs at high triangularity,elm,"{""tritop_mean"":[0.5,null]}",flat_top,0,
p026,elm_rmp,grassy ELM regime,elm,,flat_top,0,
p027,elm_rmp,type-I ELMing H-mode reference discharges,elm,,flat_top,1,"top-5 should be plain ELMing H-mode references: ELM evidence present, no RMP, no QH. A suppressed or ELM-free shot is the opposite of what was asked."
p028,elm_rmp,3-5 kA n=3 RMP in even parity during 2.5-6 s,elm,"{""irmp_total_peak"":[3000.0,null]}",flat_top,0,
p029,elm_rmp,ELM pacing with pellets,elm,,flat_top,0,
p030,elm_rmp,what happened to the ELM frequency when the I-coil current was ramped,elm,,flat_top,0,
p031,elm_rmp,utilizing RMP to control ELMs and sustain a high pedestal,elm,,flat_top,0,
p032,elm_rmp,obtaining and optimizing n=1 RMP ELM suppression,elm,,flat_top,0,
p033,fast_ions,Alfven eigenmode activity driven by the neutral beams,ae,,flat_top,1,top-5 must rest on AE evidence -- a >= 40 kHz coherent track or the AE label head -- on a beam-heated flat-top; a shot offered because 'Alfven' appears in the run title with no detector or label evidence should be visible as text-only and should not fill the top 5.
p034,fast_ions,TAE bursts during the current ramp,ae,,ramp_up,0,
p035,fast_ions,RSAE chirping early in the flat-top,ae,,flat_top,0,
p036,fast_ions,transport of passing and trapped fast ions by static 3D fields,ae,,flat_top,0,
p037,fast_ions,energetic particle modes at high beam power,ae,"{""pnbi_total_mean"":[7000000.0,null]}",flat_top,0,
p038,fast_ions,beam ion losses measured with FIDA,ae,,flat_top,0,
p039,fast_ions,TAE-induced ITG turbulence,ae,,flat_top,0,
p040,fast_ions,Alfven eigenmodes in a reversed shear discharge,ae,,flat_top,0,
p041,fast_ions,validating the turbulence and energetic ion interaction,ae,,flat_top,0,
